## The order of this list is the same order it will appear on the webpage ##,
## Two # symbols at the start and the end of a line will mean that line is ignored ##,
## The format of the CSV is as follows: ##
## Name,Scoresheet_TopRow,Scoresheet_MidRow,Scoresheet_BotRow, ##
Cockburn,,,Cockburn,
Loftus,,,Loftus,
Warwick,,,Warwick,
Aquinas College,,Aquinas,College,
Bendat,,,Bendat,
Curtin Stadium,,Curtin,Stadium,
ECU Mt. Lawley,,ECU,Mt. Lawley,
Geographe Leisure Centre,Geographe,Leisure,Centre,
Kingsway,,,Kingsway,
Mandurah ARC,,Mandurah,ARC,
Melville LeisureFit,,Melville,LeisureFit,
Methodist Ladies College,Methodist,Ladies,College,
Penrhos College,,Penrhos,College,
Rossmoyne,,,Rossmoyne,
St Mary's,,,St Mary's,
The Rise,,,The Rise,
UWA Recreation Centre,UWA,Recreation,Centre,
Wesley College,,Wesley,College,
